2025-07-22 15:55:21 | logging_config       | INFO     | setup_logging   | 🚀 NIR-DOT Logging System Initialized
2025-07-22 15:55:21 | logging_config       | INFO     | setup_logging   | 📂 Log directory: /Users/maxhart/Documents/MSc_AI_ML/Dissertation/mah422/logs
2025-07-22 15:55:21 | logging_config       | INFO     | setup_logging   | 📊 Log level: INFO
2025-07-22 15:55:21 | __main__             | INFO     | test_basic_functionality | 🧪 Testing Robin Dale's Pipeline - Simple Version
2025-07-22 15:55:21 | __main__             | INFO     | test_basic_functionality | 1️⃣  Testing data loading...
2025-07-22 15:55:21 | code.data_processing.data_loader | INFO     | __init__        | 📊 Initializing NIRPhantomDataset: split=train, patch_size=(7, 7, 7), use_tissue_patches=False
2025-07-22 15:55:21 | code.data_processing.data_loader | INFO     | _discover_phantom_files | 🗂️  Discovered 10 phantom H5 files
2025-07-22 15:55:21 | code.data_processing.data_loader | INFO     | _discover_phantom_files | ✅ Validated 10 readable phantom files
2025-07-22 15:55:21 | code.data_processing.data_loader | INFO     | _split_phantoms_by_id | Split 'train': 8/10 phantoms (80.0%)
2025-07-22 15:55:21 | code.data_processing.data_loader | INFO     | _build_sample_index | Built sample index: 12000 total samples
2025-07-22 15:55:21 | code.data_processing.data_loader | INFO     | __init__        | Dataset initialized: 8 phantoms, 12000 samples
2025-07-22 15:55:21 | code.data_processing.data_loader | INFO     | create_nir_dataloaders | Created train DataLoader: 12000 samples, ~6000 batches per epoch, baseline (no tissue patches)
2025-07-22 15:55:21 | code.data_processing.data_loader | INFO     | __init__        | 📊 Initializing NIRPhantomDataset: split=val, patch_size=(7, 7, 7), use_tissue_patches=False
2025-07-22 15:55:21 | code.data_processing.data_loader | INFO     | _discover_phantom_files | 🗂️  Discovered 10 phantom H5 files
2025-07-22 15:55:21 | code.data_processing.data_loader | INFO     | _discover_phantom_files | ✅ Validated 10 readable phantom files
2025-07-22 15:55:21 | code.data_processing.data_loader | INFO     | _split_phantoms_by_id | Split 'val': 1/10 phantoms (10.0%)
2025-07-22 15:55:21 | code.data_processing.data_loader | INFO     | _build_sample_index | Built sample index: 1500 total samples
2025-07-22 15:55:21 | code.data_processing.data_loader | INFO     | __init__        | Dataset initialized: 1 phantoms, 1500 samples
2025-07-22 15:55:21 | code.data_processing.data_loader | INFO     | create_nir_dataloaders | Created val DataLoader: 1500 samples, ~750 batches per epoch, baseline (no tissue patches)
2025-07-22 15:55:21 | code.data_processing.data_loader | INFO     | __init__        | 📊 Initializing NIRPhantomDataset: split=test, patch_size=(7, 7, 7), use_tissue_patches=False
2025-07-22 15:55:21 | code.data_processing.data_loader | INFO     | _discover_phantom_files | 🗂️  Discovered 10 phantom H5 files
2025-07-22 15:55:21 | code.data_processing.data_loader | INFO     | _discover_phantom_files | ✅ Validated 10 readable phantom files
2025-07-22 15:55:21 | code.data_processing.data_loader | INFO     | _split_phantoms_by_id | Split 'test': 1/10 phantoms (10.0%)
2025-07-22 15:55:21 | code.data_processing.data_loader | INFO     | _build_sample_index | Built sample index: 1500 total samples
2025-07-22 15:55:21 | code.data_processing.data_loader | INFO     | __init__        | Dataset initialized: 1 phantoms, 1500 samples
2025-07-22 15:55:21 | code.data_processing.data_loader | INFO     | create_nir_dataloaders | Created test DataLoader: 1500 samples, ~750 batches per epoch, baseline (no tissue patches)
2025-07-22 15:55:21 | __main__             | INFO     | test_basic_functionality | ✅ Data loading works
2025-07-22 15:55:21 | __main__             | INFO     | test_basic_functionality | 2️⃣  Testing model creation...
2025-07-22 15:55:21 | code.models.cnn_autoencoder | INFO     | __init__        | 🏗️  Initializing CNN Autoencoder: input_channels=1, output_size=(64, 64, 64), base_channels=64
2025-07-22 15:55:22 | code.models.cnn_autoencoder | INFO     | __init__        | 📊 CNN Autoencoder initialized: 61,113,409 total params, 61,113,409 trainable params
2025-07-22 15:55:22 | __main__             | INFO     | test_basic_functionality | ✅ Model creation works
2025-07-22 15:55:22 | __main__             | INFO     | test_basic_functionality | 3️⃣  Testing loss function...
2025-07-22 15:55:22 | __main__             | INFO     | test_basic_functionality | ✅ RMSE loss works: 1.414307
2025-07-22 15:55:22 | __main__             | INFO     | test_basic_functionality | 4️⃣  Testing toggle functionality...
2025-07-22 15:55:22 | code.models.cnn_autoencoder | INFO     | __init__        | 🏗️  Initializing CNN Autoencoder: input_channels=1, output_size=(64, 64, 64), base_channels=64
2025-07-22 15:55:22 | code.models.cnn_autoencoder | INFO     | __init__        | 📊 CNN Autoencoder initialized: 61,113,409 total params, 61,113,409 trainable params
2025-07-22 15:55:25 | code.models.cnn_autoencoder | INFO     | __init__        | 🏗️  Initializing CNN Autoencoder: input_channels=1, output_size=(64, 64, 64), base_channels=64
2025-07-22 15:55:25 | code.models.cnn_autoencoder | INFO     | __init__        | 📊 CNN Autoencoder initialized: 61,113,409 total params, 61,113,409 trainable params
2025-07-22 15:55:25 | code.models.tissue_context_encoder | INFO     | __init__        | 🧠 Initializing TissueContextEncoder: patch_size=7, num_patches=2, embed_dim=256
2025-07-22 15:55:26 | __main__             | INFO     | test_basic_functionality | ✅ Toggle functionality works
2025-07-22 15:55:26 | __main__             | INFO     | test_basic_functionality | 5️⃣  Testing Stage1 Trainer...
2025-07-22 15:55:27 | code.models.cnn_autoencoder | INFO     | __init__        | 🏗️  Initializing CNN Autoencoder: input_channels=1, output_size=(64, 64, 64), base_channels=64
2025-07-22 15:55:27 | code.models.cnn_autoencoder | INFO     | __init__        | 📊 CNN Autoencoder initialized: 61,113,409 total params, 61,113,409 trainable params
2025-07-22 15:55:33 | code.training.stage1_trainer | INFO     | __init__        | 🏋️  Stage 1 Trainer initialized on cpu
2025-07-22 15:55:33 | code.training.stage1_trainer | INFO     | __init__        | 📈 Learning rate: 0.0001
2025-07-22 15:55:33 | code.training.stage1_trainer | INFO     | __init__        | 📊 Model parameters: 106,006,593
2025-07-22 15:55:33 | __main__             | INFO     | test_basic_functionality | ✅ Stage1 Trainer works
2025-07-22 15:55:33 | __main__             | INFO     | test_basic_functionality | 🎯 Tests Summary: 5/5 passed
2025-07-22 15:55:33 | __main__             | INFO     | test_basic_functionality | 🎉 ALL TESTS PASSED - Robin Dale's pipeline is ready!
2025-07-22 16:04:44 | logging_config       | INFO     | setup_logging   | 🚀 NIR-DOT Logging System Initialized
2025-07-22 16:04:44 | logging_config       | INFO     | setup_logging   | 📂 Log directory: /Users/maxhart/Documents/MSc_AI_ML/Dissertation/mah422/logs
2025-07-22 16:04:44 | logging_config       | INFO     | setup_logging   | 📊 Log level: INFO
2025-07-22 16:04:44 | __main__             | INFO     | test_basic_functionality | 🧪 Testing Robin Dale's Pipeline - Simple Version
2025-07-22 16:04:44 | __main__             | INFO     | test_basic_functionality | 1️⃣  Testing data loading...
2025-07-22 16:04:44 | code.data_processing.data_loader | INFO     | __init__        | 📊 Initializing NIRPhantomDataset: split=train, patch_size=(7, 7, 7), use_tissue_patches=False
2025-07-22 16:04:44 | code.data_processing.data_loader | INFO     | _discover_phantom_files | 🗂️  Discovered 10 phantom H5 files
2025-07-22 16:04:44 | code.data_processing.data_loader | INFO     | _discover_phantom_files | ✅ Validated 10 readable phantom files
2025-07-22 16:04:44 | code.data_processing.data_loader | INFO     | _split_phantoms_by_id | Split 'train': 8/10 phantoms (80.0%)
2025-07-22 16:04:44 | code.data_processing.data_loader | INFO     | _build_sample_index | Built sample index: 12000 total samples
2025-07-22 16:04:44 | code.data_processing.data_loader | INFO     | __init__        | Dataset initialized: 8 phantoms, 12000 samples
2025-07-22 16:04:44 | code.data_processing.data_loader | INFO     | create_nir_dataloaders | Created train DataLoader: 12000 samples, ~6000 batches per epoch, baseline (no tissue patches)
2025-07-22 16:04:44 | code.data_processing.data_loader | INFO     | __init__        | 📊 Initializing NIRPhantomDataset: split=val, patch_size=(7, 7, 7), use_tissue_patches=False
2025-07-22 16:04:44 | code.data_processing.data_loader | INFO     | _discover_phantom_files | 🗂️  Discovered 10 phantom H5 files
2025-07-22 16:04:44 | code.data_processing.data_loader | INFO     | _discover_phantom_files | ✅ Validated 10 readable phantom files
2025-07-22 16:04:44 | code.data_processing.data_loader | INFO     | _split_phantoms_by_id | Split 'val': 1/10 phantoms (10.0%)
2025-07-22 16:04:44 | code.data_processing.data_loader | INFO     | _build_sample_index | Built sample index: 1500 total samples
2025-07-22 16:04:44 | code.data_processing.data_loader | INFO     | __init__        | Dataset initialized: 1 phantoms, 1500 samples
2025-07-22 16:04:44 | code.data_processing.data_loader | INFO     | create_nir_dataloaders | Created val DataLoader: 1500 samples, ~750 batches per epoch, baseline (no tissue patches)
2025-07-22 16:04:44 | code.data_processing.data_loader | INFO     | __init__        | 📊 Initializing NIRPhantomDataset: split=test, patch_size=(7, 7, 7), use_tissue_patches=False
2025-07-22 16:04:44 | code.data_processing.data_loader | INFO     | _discover_phantom_files | 🗂️  Discovered 10 phantom H5 files
2025-07-22 16:04:44 | code.data_processing.data_loader | INFO     | _discover_phantom_files | ✅ Validated 10 readable phantom files
2025-07-22 16:04:44 | code.data_processing.data_loader | INFO     | _split_phantoms_by_id | Split 'test': 1/10 phantoms (10.0%)
2025-07-22 16:04:44 | code.data_processing.data_loader | INFO     | _build_sample_index | Built sample index: 1500 total samples
2025-07-22 16:04:44 | code.data_processing.data_loader | INFO     | __init__        | Dataset initialized: 1 phantoms, 1500 samples
2025-07-22 16:04:44 | code.data_processing.data_loader | INFO     | create_nir_dataloaders | Created test DataLoader: 1500 samples, ~750 batches per epoch, baseline (no tissue patches)
2025-07-22 16:04:44 | __main__             | INFO     | test_basic_functionality | ✅ Data loading works
2025-07-22 16:04:44 | __main__             | INFO     | test_basic_functionality | 2️⃣  Testing model creation...
2025-07-22 16:04:44 | code.models.cnn_autoencoder | INFO     | __init__        | 🏗️  Initializing CNN Autoencoder: input_channels=1, output_size=(64, 64, 64), base_channels=64
2025-07-22 16:04:44 | code.models.cnn_autoencoder | INFO     | __init__        | 📊 CNN Autoencoder initialized: 61,113,409 total params, 61,113,409 trainable params
2025-07-22 16:04:45 | __main__             | INFO     | test_basic_functionality | ✅ Model creation works
2025-07-22 16:04:45 | __main__             | INFO     | test_basic_functionality | 3️⃣  Testing loss function...
2025-07-22 16:04:45 | __main__             | INFO     | test_basic_functionality | ✅ RMSE loss works: 1.414902
2025-07-22 16:04:45 | __main__             | INFO     | test_basic_functionality | 4️⃣  Testing toggle functionality...
